id,timestamp,temperature_f,humidity
1,2025-02-18 18:44:35,73.94,55
2,2025-02-18 19:14:36,73.94,55
3,2025-02-18 19:44:37,73.94,55
4,2025-02-18 20:14:37,73.58,55
5,2025-02-18 20:44:38,73.22,55
6,2025-02-18 21:14:39,72.68,55
7,2025-02-18 21:44:39,72.14,55
8,2025-02-18 22:14:40,71.78,54
9,2025-02-18 22:44:41,71.24,52
10,2025-02-18 23:14:41,71.24,51
11,2025-02-18 23:44:42,71.24,51
12,2025-02-19 00:14:43,71.24,51
13,2025-02-19 00:44:43,71.6,52
14,2025-02-19 01:14:44,71.42,51
15,2025-02-19 01:44:45,70.88,51
16,2025-02-19 02:14:45,69.26,50
17,2025-02-19 02:44:46,67.28,49
18,2025-02-19 03:14:46,65.3,48
19,2025-02-19 03:44:47,63.86,48
20,2025-02-19 04:14:49,63.5,49
21,2025-02-19 04:44:50,63.32,50
22,2025-02-19 05:14:51,63.5,51
23,2025-02-19 05:44:51,63.68,51
24,2025-02-19 06:14:52,64.04,52
25,2025-02-19 06:44:52,64.4,52
26,2025-02-19 07:14:53,64.58,52
27,2025-02-19 07:44:54,64.58,52
28,2025-02-19 08:14:54,64.76,53
29,2025-02-19 08:44:55,65.48,53
30,2025-02-19 09:14:56,66.2,54
31,2025-02-19 09:44:56,67.1,54
32,2025-02-19 10:14:57,68.18,54
33,2025-02-19 10:44:58,68.54,54
34,2025-02-19 11:14:58,68.72,54
35,2025-02-19 11:44:59,68.9,54
36,2025-02-19 12:15:00,69.08,53
37,2025-02-19 12:45:00,69.26,53
38,2025-02-19 13:15:01,69.26,53
39,2025-02-19 13:45:02,69.26,52
40,2025-02-19 14:15:02,69.26,52
41,2025-02-19 14:45:03,69.44,52
